PACKET_ID,PACKET_TYPE_Control_Packet,CONTROL_PACKET_TYPE_DIO,CONTROL_PACKET_TYPE_App1_CBR,CONTROL_PACKET_TYPE_DAO,SOURCE_ID,RECEIVER_ID,NW_LAYER_ARRIVAL_TIME(US),MAC_LAYER_ARRIVAL_TIME(US),PHY_LAYER_OVERHEAD(Bytes),PACKET_STATUS_Successful,PACKET_STATUS_Collided,Class Type
432,0,0,1,0,2,6,83901046,83901046,6,1,0,0
432,0,0,1,0,2,7,83994660,83994660,0,1,0,0
432,0,0,1,0,2,8,83994672,83994672,0,1,0,0
0,1,0,0,1,12,13,83985927,83985927,6,1,0,0
0,1,0,0,1,9,6,83989735,83989735,6,1,0,0
0,1,0,0,1,5,9,83987211,83987211,6,1,0,0
0,1,0,0,1,5,9,83996140,83996140,6,1,0,0
0,1,0,0,1,3,9,83992333,83992333,6,1,0,0
0,1,0,0,1,12,13,83994871,83994871,6,1,0,0
0,1,0,0,1,5,9,84003087,84003087,6,1,0,0
0,1,0,0,1,3,9,83999280,83999280,6,0,1,0
0,1,0,0,1,9,6,84014508,84014508,6,1,0,0
0,1,0,0,1,5,9,84008176,84008176,6,0,1,0
0,1,0,0,1,13,6,84014508,84014508,6,1,0,0
0,1,0,0,1,3,9,84019891,84019891,6,1,0,0
0,1,0,0,1,5,9,84023698,84023698,6,1,0,0
0,1,0,0,1,9,6,84019597,84019597,6,1,0,0
0,1,0,0,1,12,13,84001818,84001818,6,1,0,0
0,1,0,0,1,9,6,84035119,84035119,6,0,1,0
0,1,0,0,1,11,13,84001818,84001818,6,1,0,0
0,1,0,0,1,2,6,84036388,84036388,6,1,0,0
0,1,0,0,1,15,6,84036388,84036388,6,1,0,0
0,1,0,0,1,4,9,84024967,84024967,6,1,0,0
0,1,0,0,1,3,9,84035684,84035684,6,1,0,0
0,1,0,0,1,11,13,84022429,84022429,6,1,0,0
0,1,0,0,1,13,6,84035119,84035119,6,1,0,0
0,1,0,0,1,5,9,84039491,84039491,6,0,1,0
0,1,0,0,1,3,9,84040102,84040102,6,1,0,0
0,1,0,0,1,12,13,84022429,84022429,6,1,0,0
0,1,0,0,1,3,9,84044520,84044520,6,1,0,0
0,1,0,0,1,11,13,84038222,84038222,6,1,0,0
0,1,0,0,1,11,13,84047058,84047058,6,1,0,0
0,1,0,0,1,11,13,84067957,84067957,6,1,0,0
0,1,0,0,1,12,13,84047058,84047058,6,1,0,0
433,0,0,1,0,2,6,84095712,84095712,6,1,0,0
433,0,0,1,0,2,7,84101440,84101440,0,1,0,0
433,0,0,1,0,2,8,84101455,84101455,0,1,0,0
433,0,0,1,0,2,6,84095712,84095712,6,1,0,0
433,0,0,1,0,2,7,84107809,84107809,0,1,0,0
433,0,0,1,0,2,8,84107824,84107824,0,1,0,0
433,0,0,1,0,2,6,84095712,84095712,6,1,0,0
433,0,0,1,0,2,7,84113218,84113218,0,1,0,0
433,0,0,1,0,2,8,84113233,84113233,0,1,0,0
433,0,0,1,0,2,6,84095712,84095712,6,1,0,0
433,0,0,1,0,2,7,84118947,84118947,0,1,0,0
433,0,0,1,0,2,8,84118962,84118962,0,1,0,0
433,0,0,1,0,2,6,84095712,84095712,6,1,0,0
433,0,0,1,0,2,7,84125636,84125636,0,1,0,0
433,0,0,1,0,2,8,84125651,84125651,0,1,0,0
433,0,0,1,0,2,6,84095712,84095712,6,1,0,0
433,0,0,1,0,2,7,84132645,84132645,0,1,0,0
433,0,0,1,0,2,8,84132660,84132660,0,1,0,0
433,0,0,1,0,2,6,84095712,84095712,6,1,0,0
433,0,0,1,0,2,7,84138054,84138054,0,1,0,0
433,0,0,1,0,2,8,84138069,84138069,0,1,0,0
433,0,0,1,0,2,6,84095712,84095712,6,1,0,0
433,0,0,1,0,2,7,84144103,84144103,0,1,0,0
433,0,0,1,0,2,8,84144118,84144118,0,1,0,0
433,0,0,1,0,2,6,84095712,84095712,6,1,0,0
433,0,0,1,0,2,7,84151752,84151752,0,1,0,0
433,0,0,1,0,2,8,84151767,84151767,0,1,0,0
433,0,0,1,0,2,6,84095712,84095712,6,1,0,0
433,0,0,1,0,2,7,84158761,84158761,0,1,0,0
433,0,0,1,0,2,8,84158776,84158776,0,1,0,0
433,0,0,1,0,2,6,84095712,84095712,6,1,0,0
433,0,0,1,0,2,7,84164170,84164170,0,1,0,0
433,0,0,1,0,2,8,84164185,84164185,0,1,0,0
433,0,0,1,0,2,6,84095712,84095712,6,1,0,0
433,0,0,1,0,2,7,84171819,84171819,0,1,0,0
433,0,0,1,0,2,8,84171834,84171834,0,1,0,0
0,1,0,0,1,3,9,84170215,84170215,6,1,0,0
433,0,0,1,0,2,6,84095712,84095712,6,1,0,0
433,0,0,1,0,2,7,84181388,84181388,0,1,0,0
433,0,0,1,0,2,8,84181403,84181403,0,1,0,0
433,0,0,1,0,2,6,84095712,84095712,6,1,0,0
433,0,0,1,0,2,7,84188717,84188717,0,1,0,0
433,0,0,1,0,2,8,84188732,84188732,0,1,0,0
433,0,0,1,0,2,6,84095712,84095712,6,1,0,0
433,0,0,1,0,2,7,84193806,84193806,0,1,0,0
433,0,0,1,0,2,8,84193818,84193818,0,1,0,0
434,0,0,1,0,2,6,84290378,84290378,6,1,0,0
434,0,0,1,0,2,7,84297066,84297066,0,1,0,0
434,0,0,1,0,2,8,84297081,84297081,0,1,0,0
434,0,0,1,0,2,6,84290378,84290378,6,1,0,0
434,0,0,1,0,2,7,84304715,84304715,0,1,0,0
434,0,0,1,0,2,8,84304730,84304730,0,1,0,0
434,0,0,1,0,2,6,84290378,84290378,6,1,0,0
434,0,0,1,0,2,7,84312364,84312364,0,1,0,0
434,0,0,1,0,2,8,84312379,84312379,0,1,0,0
434,0,0,1,0,2,6,84290378,84290378,6,1,0,0
434,0,0,1,0,2,7,84320013,84320013,0,1,0,0
434,0,0,1,0,2,8,84320028,84320028,0,1,0,0
434,0,0,1,0,2,6,84290378,84290378,6,1,0,0
434,0,0,1,0,2,7,84325742,84325742,0,1,0,0
434,0,0,1,0,2,8,84325757,84325757,0,1,0,0
434,0,0,1,0,2,6,84290378,84290378,6,1,0,0
434,0,0,1,0,2,7,84333071,84333071,0,1,0,0
434,0,0,1,0,2,8,84333086,84333086,0,1,0,0
434,0,0,1,0,2,6,84290378,84290378,6,1,0,0
434,0,0,1,0,2,7,84338480,84338480,0,1,0,0
434,0,0,1,0,2,8,84338495,84338495,0,1,0,0
434,0,0,1,0,2,6,84290378,84290378,6,1,0,0
434,0,0,1,0,2,7,84345809,84345809,0,1,0,0
434,0,0,1,0,2,8,84345824,84345824,0,1,0,0
434,0,0,1,0,2,6,84290378,84290378,6,1,0,0
434,0,0,1,0,2,7,84353138,84353138,0,1,0,0
434,0,0,1,0,2,8,84353153,84353153,0,1,0,0
434,0,0,1,0,2,6,84290378,84290378,6,1,0,0
434,0,0,1,0,2,7,84359187,84359187,0,1,0,0
434,0,0,1,0,2,8,84359202,84359202,0,1,0,0
434,0,0,1,0,2,6,84290378,84290378,6,1,0,0
434,0,0,1,0,2,7,84364916,84364916,0,1,0,0
434,0,0,1,0,2,8,84364931,84364931,0,1,0,0
434,0,0,1,0,2,6,84290378,84290378,6,1,0,0
434,0,0,1,0,2,7,84372565,84372565,0,1,0,0
434,0,0,1,0,2,8,84372580,84372580,0,1,0,0
