PACKET_ID,PACKET_TYPE_Control_Packet,CONTROL_PACKET_TYPE_DIO,CONTROL_PACKET_TYPE_App1_CBR,CONTROL_PACKET_TYPE_DAO,SOURCE_ID,RECEIVER_ID,NW_LAYER_ARRIVAL_TIME(US),MAC_LAYER_ARRIVAL_TIME(US),PHY_LAYER_OVERHEAD(Bytes),PACKET_STATUS_Successful,PACKET_STATUS_Collided,Class Type
299,0,0,1,0,1,5,29323956,29323956,0,1,0,0
0,1,0,0,0,10,5,20934516,20934516,0,1,0,2
0,1,1,0,0,15,9,14322903,14322903,6,0,1,1
65,0,0,1,0,1,5,6461646,6461646,0,1,0,0
0,1,0,0,0,2,3,6390000,6390000,6,1,0,2
337,0,0,1,0,1,5,52765816,52765816,0,1,0,2
555,0,0,1,0,1,5,54462017,54462017,0,1,0,0
0,1,0,0,0,2,5,34407632,34407632,0,1,0,2
374,0,0,1,0,1,5,36637893,36637893,0,1,0,0
0,1,0,0,0,10,4,35597513,35597513,0,1,0,2
0,1,1,0,0,11,12,10783107,10783107,6,1,0,1
0,1,1,0,0,3,13,21551135,21551135,6,0,1,1
0,1,0,0,0,6,5,62088679,62088679,0,1,0,2
0,1,0,0,0,1,5,41075000,41075000,6,1,0,1
232,0,0,1,0,1,3,4620000,4620000,6,1,0,2
299,0,0,1,0,1,4,46770892,46770892,0,1,0,2
0,1,1,0,0,4,2,10730649,10730649,6,1,0,1
0,1,1,0,0,14,3,12902814,12902814,6,1,0,1
471,0,0,1,0,1,5,46225940,46225940,0,1,0,0
0,1,0,0,0,1,5,38725000,38725000,6,1,0,1
0,1,0,0,0,2,5,33843671,33843671,0,1,0,2
403,0,0,1,0,1,4,39496935,39496935,0,1,0,0
0,1,1,0,0,11,2,25539113,25539113,6,1,0,1
0,1,0,0,0,10,3,3612000,3612000,6,1,0,2
352,0,0,1,0,1,4,34437248,34437248,0,1,0,0
260,0,0,1,0,1,5,43911852,43911852,0,1,0,2
0,1,0,0,0,6,4,54807405,54807405,0,1,0,2
499,0,0,1,0,2,7,96956085,96956085,0,1,0,0
0,1,0,0,0,2,5,55548167,55548167,0,1,0,2
0,1,0,0,0,2,4,34359752,34359752,0,1,0,2
420,0,0,1,0,1,5,65568470,65568470,0,1,0,2
217,0,0,1,0,1,3,4320000,4320000,6,1,0,0
425,0,0,1,0,1,5,41621596,41621596,0,1,0,0
279,0,0,1,0,1,5,27358020,27358020,0,1,0,0
106,0,0,1,0,2,6,4905600,4905600,6,1,0,1
0,1,1,0,0,13,15,69497397,69497397,6,1,0,1
0,1,0,0,0,10,5,47894700,47894700,0,1,0,2
148,0,0,1,0,1,3,2940000,2940000,6,1,0,0
154,0,0,1,0,1,3,3060000,3060000,6,1,0,0
143,0,0,1,0,1,4,22672252,22672252,0,1,0,2
0,1,0,0,0,6,5,30060220,30060220,0,1,0,2
0,1,0,0,0,2,5,39049756,39049756,0,1,0,2
0,1,1,0,0,5,12,15586458,15586458,6,1,0,1
262,0,0,1,0,1,5,40793756,40793756,0,1,0,2
0,1,0,0,0,2,3,7118000,7118000,6,1,0,2
0,1,1,0,0,5,2,15613251,15613251,6,0,1,1
450,0,0,1,0,1,3,8980000,8980000,6,1,0,0
335,0,0,1,0,1,4,32831145,32831145,0,1,0,0
0,1,0,0,0,10,3,5023000,5023000,6,1,0,2
428,0,0,1,0,1,5,41946157,41946157,0,1,0,0
58,0,0,1,0,2,7,13854510,13854510,0,1,0,1
191,0,0,1,0,1,4,18805634,18805634,0,1,0,0
440,0,0,1,0,1,4,43091178,43091178,0,1,0,0
0,1,0,0,0,1,13,7475000,7475000,6,1,0,1
0,1,1,0,0,5,12,92925189,92925189,6,0,1,1
